name;static_instructions;dynamic_instructions
extr_linuxdriversmiscsgi-grugrufault.c_gru_cb_set_istatus_active.c;5;5
extr_linuxdriversedaci5100_edac.c_i5100_rank_to_slot.c;14;14
extr_reactosdllopenglglu32srclibutilproject.c___gluInvertMatrixd.c;489;579
extr_linuxdriversscsiqla2xxxtcm_qla2xxx.c_tcm_qla2xxx_lport_register_cb.c;6;6
extr_linuxdriversscsihisi_sashisi_sas_main.c_hisi_sas_get_prog_phy_linkrate_mask.c;10;10
extr_linuxnetsunrpcauth_gssgss_mech_switch.c_gss_pseudoflavor_to_service.c;4;4
extr_libuvsrcunixlinux-syscalls.c_uv__eventfd.c;4;4
extr_libgit2srcbuffer.c_git_buf_clear.c;6;6
extr_linuxarchx86kvmsvm.c_svm_patch_hypercall.c;3;3
extr_linuxdriversgpudrmsun4isun4i_backend.c_sun4i_backend_drm_format_to_layer.c;6;6
extr_linuxsoundspiat73c213.c_snd_at73c213_line_capture_volume_info.c;7;7
extr_linuxsoundpcies1938.c_snd_es1938_info_double.c;13;13
extr_obs-studiolibobsgraphicsvec4.c_vec4_from_vec3.c;4;4
extr_linuxkernelrcurcu_segcblist.c_rcu_cblist_init.c;6;6
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libiso2022_cn.h_iso2022_cn_reset.c;5;5
extr_FFmpeglibavformatlrcdec.c_find_header.c;11;11
extr_linuxdriversgpudrmselfteststest-drm-helper.c_set_crtc.c;5;5
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_and_Slot_xt_flix64_slot1_encode.c;2;2
extr_linuxdriversgpudrmamdamdgpuuvd_v5_0.c_uvd_v5_0_set_irq_funcs.c;4;4
extr_linuxdriversiiopressurebmp280-core.c_bmp280_compensate_temp.c;19;19
extr_linuxdriversnetethernetinteliceice_common.c_ice_set_mac_type.c;5;5
extr_linuxnetrdsib_recv.c_rds_ib_recv_init_ack.c;17;17
extr_linuxfsprocproc_sysctl.c_clear_empty_dir.c;3;3
extr_FFmpeglibavcodeclossless_videodsp.c_add_left_pred_c.c;27;909
extr_linuxdriversnetethernetibmibmveth.c_ibmveth_encode_mac_addr.c;4;4
extr_reactossdktoolshhpcompchmcencint.h_chmc_decint.c;14;14
extr_linuxdriversnetethernetqlogicqlcnicqlcnic_sriov_common.c_qlcnic_sriov_vf_register_map.c;6;6
extr_reactosdllwin32urlmonuri.c_compute_elision_location.c;51;259
extr_openpilotpandatestssafetytest.c_set_bosch_hardware.c;2;2
extr_swayswaytreeworkspace.c_prevent_invalid_outer_gaps.c;14;14
extr_linuxnetmac80211rate.c_rate_idx_match_legacy_mask.c;12;37
extr_linuxfsioctl.c_fiemap_check_flags.c;8;8
extr_xhyvesrcvmmvmm_api.c_xh_vm_set_lowmem_limit.c;2;2
extr_linuxnetschedsch_cake.c_cake_calc_overhead.c;25;25
extr_reactosmodulesrosteststestspseh2psehtest2.c_set_positive.c;2;2
extr_mongooseexamplesapi_serversqlite3.c_memjrnlFileSize.c;4;4
extr_linuxdriversnetwirelessbroadcombrcm80211brcmsmacrate.c_brcms_c_rate_legacy_phyctl.c;4;4
extr_php-srcsapilitespeedlsapilib.c_LSAPI_Set_Extra_Children.c;6;6
extr_linuxdriversgpudrmnouveaudispnv04arb.c_nv04_calc_arb.c;82;82
extr_kphp-kdbtexttext-index.c_init_text_data.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_msub_s_Slot_inst_encode.c;2;2
extr_labq3map2libspicomodelpicomodel.c_PicoSetSurfaceShader.c;4;4
extr_linuxsoundpciasihpihpifunc.c_hpi_stream_response_to_legacy.c;3;3
extr_reactosdlldirectxwinewined3dshader.c_shader_none_get_caps.c;8;8
extr_reactosdll3rdpartylibtifftif_dumpmode.c_DumpModeSeek.c;5;5
extr_labenginecodeq3_uiui_mfield.c_MField_Clear.c;5;5
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rsr_ibreaka1_Slot_inst_encode.c;2;2
extr_linuxdriversnetethernetqlogicqedqed_vf.c_qed_vf_get_num_txqs.c;4;4
extr_linuxdriversgpiogpiolib-acpi.c___acpi_gpio_update_gpiod_flags.c;5;5
extr_h2ot00unitlibcommoncache.c_on_destroy.c;2;2
extr_linuxdriversstagingcomedidriversaddi_apci_1564.c_apci1564_cos_insn_bits.c;4;4
extr_linuxdriversusbchipideaotg_fsm.c_b_ssend_srp_tmout.c;7;7
extr_linuxsoundpcihdapatch_realtek.c_alc_setup_gpio.c;5;5
extr_micropythonportsstm32usbhostCoreSrcusbh_core.c_USBH_FindInterfaceIndex.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_combined3e2c5767_fld53xt_flix64_slot1_Slot_xt_flix64_slot1_set.c;7;7
extr_linuxdriverscryptoqatqat_c62xadf_c62x_hw_data.c_get_num_aes.c;9;9
extr_linuxdriversnetethernetchelsiocxgb4cudbg_zlib.c_cudbg_get_compress_hdr.c;6;6
extr_micropythonportsstm32usbhostCoreSrcusbh_ctlreq.c_USBH_ParseStringDesc.c;4;4
extr_libgit2srciterator.c_index_iterator_init.c;7;7
extr_linuxdriversgpudrmtegradc.c_tegra_dc_stats_reset.c;4;4
extr_linuxsoundfirewiredigi00xamdtp-dot.c_amdtp_dot_reset.c;4;4
extr_obs-studiolibobsaudio-monitoringosx....graphicsvec2.h_vec2_max.c;9;9
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_dtlbcfg_Slot_inst_encode.c;2;2
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_bs16_decode.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_intenable_Slot_inst_encode.c;2;2
extr_reactosdriversfilesystemsext2srcnlsnls_cp932.c_char2uni.c;8;8
extr_linuxdriversnetethernetbroadcomtg3.c_calc_crc.c;24;17860
extr_linuxdriversgpudrmi915intel_bios.c_intel_bios_is_tv_present.c;9;9
extr_linuxdriverspcmciapxa2xx_vpac270.c_vpac270_pcmcia_socket_state.c;3;3
extr_darwin-xnubsddevmunge.c_munge_wwwsw.c;12;12
extr_reactossdklib3rdpartybzip2huffman.c_BZ2_hbAssignCodes.c;19;1289
extr_linuxnetopenvswitchactions.c_invalidate_flow_key.c;3;3
extr_linuxsoundi2cotherpt2258.c_pt2258_switch_get.c;8;8
extr_hashcatsrcmodulesmodule_04400.c_module_init.c;86;86
extr_reactosdllopenglmesavbfill.c_gl_Indexf.c;5;5
extr_linuxsecuritykeyskeyring.c_keyring_hash.c;17;401
extr_netdatacollectorsapps.plugin....libnetdatainlined.h_simple_hash.c;14;462
extr_linuxdriverscryptochelsiochcr_ipsec.c_chcr_ipsec_setauthsize.c;13;13
extr_lua-nginx-modulesrcngx_http_lua_req_method.c_ngx_http_lua_ffi_req_set_method.c;9;9
extr_php-srcsapifpmfpmfpm_scoreboard.c_fpm_scoreboard_release.c;4;4
extr_linuxarcharmmach-pxapxa2xx.c_pxa2xx_clear_reset_status.c;2;2
extr_anypixelfirmwaredisplayThirdPartySPLsrcstm32f0xx_tim.c_TI4_Config.c;23;23
extr_linuxdriverspowersupplybq2415x_charger.c_bq2415x_update_reported_mode.c;12;12
extr_linuxarchpowerpckvmbooke.c_kvmppc_set_sregs_ivor.c;5;5
extr_FFmpeglibavfilterasrc_anoisesrc.c_violet_filter.c;6;6
extr_hashcatsrcconvert.c_printable_ascii.c;10;10
extr_linuxscriptskconfiglxdialogutil.c_set_dialog_subtitles.c;2;2
extr_linuxdriversmediaplatforms5p-jpegjpeg-core.c_s5p_jpeg_subsampling_decode.c;5;5
extr_linuxdriversvideofbdevmbxmbxfb.c_mbxfb_setcolreg.c;4;4
extr_Craftdepsglfwsrcx11_init.c_errorHandler.c;4;4
extr_kphp-kdbdnsdns-data.c_dns_write_iterator_init.c;8;8
extr_linuxdriversiiolightapds9960.c_apds9960_get_thres_reg.c;7;7
extr_kphp-kdbtargtarg-engine.c_memcache_get_start.c;5;5
extr_tenginesrchttpmodulesngx_http_sub_filter_module.c_ngx_http_sub_filter_init.c;10;10
extr_linuxdriversstagingks7010michael_mic.c_michael_clear.c;6;6
extr_linuxdriversscsibnx2fcbnx2fc_hwi.c_bnx2fc_return_rqe.c;14;14
extr_linuxdriversmediai2csoc_cameraov9640.c_ov9640_get_selection.c;6;6
extr_linuxarchsparckernelunaligned_32.c_advance.c;5;5
extr_linuxdriversscsiqediqedi_main.c_qedi_get_nvram_block.c;8;8
extr_linuxdriversscsilpfclpfc_hbadisc.c_lpfc_get_rec_conf23.c;13;13
extr_netdatacollectorsnfacct.plugin....libnetdatainlined.h_simple_hash.c;14;462
extr_linuxnetvmw_vsockvirtio_transport_common.c_virtio_transport_set_buffer_size.c;12;12
extr_xhyvesrcvmmvmm.c_vm_gpabase2memseg.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_combined3e2c5767_fld36xt_flix64_slot2_Slot_xt_flix64_slot2_set.c;7;7
extr_linuxdriverss390charsclp_quiesce.c_sclp_quiesce_pm_event.c;3;3
extr_linuxdriversnetethernetamazonenaena_com.h_ena_com_update_intr_reg.c;14;14
extr_anypixelfirmwarecontrollersrctextfuncs.c_TEXT_deleteWhiteSpace.c;23;2880
extr_zstdcontriblinux-kernellibzstdcompress.c_ZSTD_resetSeqStore.c;6;6
extr_linuxlibzlib_inflateinflate.c_zlib_inflateSyncPacket.c;12;12
extr_linuxdriversnetethernetsunniu.c_niu_assign_netdev_ops.c;5;5
extr_linuxdriversusbhostxhci-ring.c_xhci_handle_cmd_enable_slot.c;5;5
extr_linuxtoolsperfuibrowsers....utilthread.h_thread__set_priv.c;2;2
extr_darknetsrcimage.c_censor_image.c;21;21
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_xt_wbr15_imm_Slot_inst_set.c;7;7
extr_kittykittyline.c_prefix_matches.c;19;19
extr_FFmpegtestsutils.c_put_pixel.c;7;7
extr_rufussrcstdfn.c_isprime.c;17;17
extr_linuxdriversmediai2cadv748xadv748x-afe.c_adv748x_afe_g_tvnorms.c;4;4
extr_linuxdriversinputserioserport.c_serport_set_type.c;10;10
extr_linuxdriversmediadvb-frontendslgs8gxx.c_lgs8gxx_get_tune_settings.c;5;5
extr_reactosdllwin32imaadp32.acmimaadp32.c_W8.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_rfi_Slot_inst_encode.c;2;2
extr_linuxdriversmediai2csmiappsmiapp-core.c_smiapp_get_native_size.c;13;13
extr_FFmpeglibavcodecvc2enc.c_init_quant_matrix.c;15;15
extr_linuxfsext4extents_status.h_ext4_es_store_status.c;9;9
extr_linuxnetschedsch_sfb.c_increment_one_qlen.c;3;3
extr_reactosdriversbusacpiacpicautilitiesutstrsuppt.c_AcpiUtStrtoulAdd64.c;9;9
extr_linuxdriversmediatunersfc0013.c_fc0013_get_bandwidth.c;5;5
extr_linuxdriversisdnhardwareeiconcapidtmf.c_capidtmf_recv_init.c;12;12
extr_linuxdriversnetwirelessinteliwlegacy4965.c_il4965_get_sub_band.c;4;4
extr_reactosmodulesrostestswinetestsmsxml3saxreader.c_init_saxdeclhandler.c;4;4
extr_raspberry-pi-osexerciseslesson023avenitosrcprintf.c_ui2a.c;52;72
extr_linuxnetschedsch_mqprio.c_mqprio_parse_opt.c;26;26
extr_linuxnetdsamaster.c_dsa_master_ethtool_teardown.c;5;5
extr_linuxdriversnetethernetinteligbigb_main.c_igb_save_cbs_params.c;7;7
extr_php-srcextopcachejitdynasmminilua.c_luaO_log2.c;7;7
extr_radare2libranalpanal_xtensa.c_sign_extend.c;9;9
extr_reactosdll3rdpartylibtifftif_error.c_TIFFSetErrorHandler.c;3;3
extr_linuxdriversnetethernetatherosatl1eatl1e_main.c_atl1e_cal_ring_size.c;12;12
extr_netdatacollectorscgroups.plugin....daemon..libnetdatainlined.h_simple_hash.c;14;462
extr_ccvlib3rdpartysqlite3sqlite3.c_isAllZero.c;10;10
extr_linuxdriversmediadvb-frontendss5h1411.c_s5h1411_get_frontend.c;7;7
extr_darwin-xnubsdnetinetip_dummynet.c_cp_queue_to_32_user.c;33;33
extr_kphp-kdbcopyexeccopyexec-binlog.c_swap_exit_signal_bytes.c;10;10
extr_rufussrcext2fsextent.c_ul_log2.c;8;8
extr_linuxdriversstagingrtl8723bshalrtl8723b_hal_init.c_rtl8723b_set_hal_ops.c;38;38
extr_linuxdriverspinctrlmesonpinctrl-meson.c_meson_get_bank.c;6;6
extr_linuxdriversmddm-integrity.c_get_area_and_offset.c;6;6
extr_obs-studiolibobs-openglgl-subsystem.h_convert_filter.c;10;10
extr_reactosdlldirectxwinedinputdevice.c_offset_to_object.c;8;8
extr_linuxtoolstestingselftestsvmmlock2.h_mlock2_.c;4;4
extr_kittyglfwx11_init.c_errorHandler.c;4;4
extr_reactosdllopenglmesalight.c_gl_compute_material_shine_table.c;5;5
extr_stbdeprecatedstb_image.c_stbi_ldr_to_hdr_scale.c;2;2
extr_linuxdriversscsimpt3sasmpt3sas_scsih.c__scsih_normalize_sense.c;20;20
extr_darwin-xnubsdkernkpi_mbuf.c_mbuf_get_tso_requested.c;11;11
extr_reactosdlldirectxwinewined3dglsl_shader.c_glsl_fragment_pipe_invalidate_constants.c;3;3
extr_linuxdriversideide-eh.c_ide_disk_pre_reset.c;21;21
extr_labenginecoderenderergl2tr_extramath.c_Mat4Zero.c;6;6
extr_linuxdriversmediaplatformexynos4-isfimc-core.c_fimc_get_scaler_factor.c;23;63
extr_linuxdriversnetethernethuaweihinichinic_main.c_set_link_speed.c;7;7
extr_linuxdriversnetethernetqlogicqla3xxx.c_ql_get_sbuf.c;9;9
extr_reactosdriversfilesystemsbtrfsflushthread.c_add_parents_to_cache.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_quou_Slot_inst_encode.c;2;2
extr_linuxdriversnetwirelessrealtekrtl8192cuhalrtl8192crtl8192c_phycfg.c_phy_CalculateBitShift.c;6;6
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_op1_Slot_inst_set.c;7;7
extr_h2odepspicotlsdepscifrasrccurve25519.naclref.c_select.c;15;708
extr_linuxdriversnetteamteam.c_team_notify_peers_interval_set.c;4;4
extr_libgit2srcpack-objects.c_git_packbuilder_set_callbacks.c;6;6
extr_libuvsrcuv-data-getter-setters.c_uv_loop_set_data.c;2;2
extr_linuxdriversdmaat_hdmac_regs.h_set_desc_eol.c;8;8
extr_php-srcextgdlibgdgd_transform.c_gdImageFlipVertical.c;6;6
extr_h2odepsmruby-onig-regexpsrcmruby_onig_regexp.c_option_to_str.c;10;10
extr_obs-studiolibobsgraphics..utildarray.h_darray_init.c;4;4
extr_linuxdriversnetethernethuaweihinichinic_hw_api_cmd.c_xor_chksum_set.c;9;33
extr_linuxdriversnetwirelessrealtekrtlwifirtl8723be..btcoexist..wifi.h_set_hal_start.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_neg_Slot_xt_flix64_slot1_encode.c;2;2
extr_linuxkernelbpfverifier.c_adjust_subprog_starts.c;5;5
extr_emscriptentestsnbody-javaorg_apache_harmony_luni_platform_IFileSystem.c_org_apache_harmony_luni_platform_IFileSystem_PUT_O_RDWR.c;2;2
extr_openpilotpandatestssafetytest.c_set_hyundai_rt_torque_last.c;2;2
extr_hashcatsrcmodulesmodule_15000.c_module_init.c;89;89
extr_linuxdriversnetethernetmarvellmvneta.c_mvneta_txq_desc_put.c;6;6
extr_linuxdriverspinctrlqcompinctrl-spmi-gpio.c_pmic_gpio_of_xlate.c;6;6
extr_reactosmodulesrosappsapplicationssysutilsutilspicemoduleutils.c_PICE_memset.c;8;8
extr_linuxsoundi2cotherak4117.c_snd_ak4117_spdif_info.c;5;5
extr_radare2librasmarchxtensagnuxtensa-modules.c_Field_r4_Slot_inst_set.c;7;7
extr_linuxdriversnetgeneve.c_geneve_change_mtu.c;6;6
extr_FFmpeglibavfiltervf_deinterlace_qsv.c_frame_alloc.c;6;6
extr_linuxdriversmediadvb-frontendsatbm8830.c_atbm8830_get_tune_settings.c;5;5
extr_linuxdriversnetteamteam.c_team_mcast_rejoin_interval_get.c;4;4
extr_libuicommonmatrix.c_uiprivScaleCenter.c;9;9
extr_linuxdriverss390chartape.h_tape_ccw_cmd.c;6;6
extr_reactosdllopenglmesacontext.c_update_rasterflags.c;64;64
extr_linuxdriversregulators2mpa01.c_get_ramp_delay.c;18;18
extr_gitread-cache.c_set_alternate_index_output.c;2;2
extr_linuxdriversmiscgenwqecard_ddcb.c_ddcb_requ_set_state.c;2;2
extr_linuxkernelirqirqdomain.c_of_phandle_args_to_fwspec.c;7;7
extr_linuxdriversnetethernetmicrochiplan743x_ethtool.c_lan743x_ethtool_get_rxnfc.c;8;8
extr_linuxdriversnetwirelessbroadcombrcm80211brcmsmacphyphy_n.c_wlc_phy_ofdm_to_mcs_powers_nphy.c;6;6
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_floor_s_Slot_inst_encode.c;2;2
extr_obs-studiopluginsobs-outputslibrtmpamf.c_AMFProp_SetName.c;3;3
extr_linuxdriversisdnhisaxcallc.c_hisax_findcard.c;4;4
extr_linuxdriversmisccxlapi.c_cxl_set_priv.c;5;5
extr_micropythonportsstm32usbhostCoreSrcusbh_core.c_USBH_LL_SetTimer.c;2;2
extr_FFmpeglibavcodecscpr.c_get_freq0.c;12;12
extr_netdatalibnetdatalog..inlined.h_str2ull.c;6;6
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_neg_Slot_xt_flix64_slot2_encode.c;2;2
extr_ccvlib3rdpartysqlite3sqlite3.c_sqlite3_enable_shared_cache.c;3;3
extr_linuxdriversgpudrmamddisplaydccoredc_resource.c_find_matching_clock_source.c;4;4
extr_reactosdllwin32vbscriptinterp.c_instr_jmp.c;4;4
extr_linuxdriversvmebridgesvme_tsi148.c_reg_join.c;5;5
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libjohab_hangul.h_johab_hangul_wctomb.c;10;10
extr_nuklearexamplestb_image.h_stbi__rewind.c;5;5
extr_reactosbaseapplicationswinhlp32macro.lex.yy.c_yyset_debug.c;2;2
extr_labenginecodeclientcl_cin.c_CIN_SetLooping.c;5;5
extr_linuxdriversdmaioat..dmaengine.h_dmaengine_desc_get_callback.c;7;7
extr_nginxsrcstreamngx_stream_variables.c_ngx_stream_variable_protocol.c;13;13
extr_reactosmodulesrosappsapplicationsnetdhcpdsrcutilsmacutils.c_maccmp.c;13;118
extr_Craftdepslodepnglodepng.c_lodepng_decompress_settings_init.c;4;4
extr_darwin-xnubsdnetkpi_interface.c_ifnet_set_baudrate.c;9;9
extr_linuxdriversthermalint340x_thermalint3400_thermal.c_int3400_thermal_get_mode.c;7;7
extr_reactosdll3rdpartylibtifftif_dumpmode.c_TIFFInitDumpMode.c;14;14
extr_linuxdriversusbstorageusb.c_get_transport.c;8;8
extr_linuxdriversmediai2cs5c73m3s5c73m3-core.c_s5c73m3_fill_mbus_fmt.c;10;10
extr_linuxdriversvideofbdevimsttfb.c_imsttfb_check_var.c;12;12
extr_kphp-kdbdnsdns-binlog-diff.c_zones_count.c;9;9
extr_radare2libranal..includer_endian.h_UT16_ADD.c;6;6
extr_linuxtoolsperfuibrowsers....utildso.h_dso__set_loaded.c;2;2
extr_darwin-xnubsdmiscfsspecfsspec_vnops.c_spec_lookup.c;4;4
extr_reactosbaseapplicationsmstscsecure.c_buf_out_uint32.c;12;12
extr_linuxdriversinputtouchscreencyttsp4_core.c_cyttsp4_bits_2_bytes.c;7;7
extr_labenginecodeq3_uiui_startserver.c_UI_BotSelectMenu_BotEvent.c;3;3
extr_linuxfsext2inode.c_all_zeroes.c;7;7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_syscall_Slot_inst_encode.c;2;2
extr_linuxkernelbpfsyscall.c_bpf_map_from_imm.c;5;5
extr_linuxdriversdmapl330.c_fill_px.c;4;4
extr_FFmpeglibavformatid3v2enc.c_string_is_ascii.c;10;28
extr_radare2libranal..includer_endian.h_UT8_SUB.c;8;8
extr_linuxdriversnetethernetmellanoxmlx4en_ethtool.c_mlx4_en_get_num_flows.c;4;4
extr_linuxdriversstagingcomedidriversusbduxsigma.c_usbduxsigma_pwm_pattern.c;9;9
extr_linuxnetschedsch_cake.c_cobalt_newton_step.c;2;2
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_cmd.c_rtw_cmd_clr_isr.c;2;2
extr_linuxdriversgpudrmmsmdispmdp5mdp5_plane.c_calc_pixel_ext.c;3;3
extr_FFmpeglibavcodecmpegvideo_parser.c_mpegvideo_split.c;23;3579
extr_gitewahewok_rlw.h_rlw_set_literal_words.c;11;11
extr_obs-studiolibobsgraphicsquat.c_quat_vec3.c;4;4
extr_stbteststextedit_sample.c_layout_func.c;13;13
extr_BGAQRCode-Androidzbarsrcmainjnizbarimage.c_zbar_image_set_format.c;2;2
extr_linuxdriversgpudrmamdamdkfdkfd_dbgdev.c_dbgdev_register_nodiq.c;3;3
extr_linuxdriverscryptochelsiochtlschtls_io.c_tlstx_incr_seqnum.c;4;4
extr_libuicommonattribute.c_uiprivAttributeRetain.c;4;4
extr_FFmpeglibavcodecshorten.c_fix_bitshift.c;8;8
extr_labq3map2libspicomodelpicointernal.c__pico_memstream_seek.c;10;10
extr_reactosmodulesrostestswinetestsws2_32sock.c_test_buffer.c;18;18
extr_linuxnetsunrpcxprt.c___xprt_lock_write_func.c;7;7
extr_redissrcmodule.c_zsetKeyReset.c;5;5
extr_linuxnetnetfilteripvsip_vs_proto_tcp.c_tcp_timeout_change.c;7;7
extr_linuxdriversnetethernetstmicrostmmacdwxgmac2_descs.c_dwxgmac2_init_tx_desc.c;4;4
extr_obs-studiolibobsgraphics..utillexer.h_strref_copy.c;5;5
extr_ccvlib3rdpartysqlite3sqlite3.c_setRawDateNumber.c;6;6
extr_linuxdriversnetethernetnetronomenfpnfpcorenfp_cppcore.c_nfp_cpp_explicit_set_posted.c;7;7
extr_linuxdriversmediausbs2255s2255drv.c_vidioc_g_input.c;3;3
extr_radare2librasmarchxtensagnuxtensa-modules.c_Operand_xt_wbr15_label_decode.c;7;7
extr_linuxdriversstagingcomedicomedidev.h_comedi_check_trigger_arg_max.c;7;7
extr_linuxsoundossdmasounddmasound_core.c_set_queue_frags.c;5;5
extr_raspberry-pi-osexerciseslesson021H-4ND-Hsrcprintf.c_ui2a.c;52;72
extr_reactosdlldirectxwinewined3dcontext.c_have_framebuffer_attachment.c;5;5
extr_linuxdriversvideofbdevcorefbcon_ccw.c_fbcon_rotate_ccw.c;13;13
extr_linuxdriversusbdwc3gadget.c_dwc3_ep_inc_trb.c;10;10
extr_hashcatsrcmodulesmodule_00300.c_module_init.c;86;86
extr_linuxdriversnetteamteam.c_team_priority_option_get.c;6;6
extr_linuxtoolslibbpflibbpf.c_bpf_program__set_ifindex.c;2;2
extr_linuxdriversgpudrmamddisplaydcdce110dce110_hw_sequencer.c_get_link_for_edp_not_in_use.c;6;6
extr_linuxsoundmipshal2.c_hal2_stop_adc.c;4;4
extr_linuxdriversgpudrmnouveaunvkmfalconmsgqueue_0148cdec.c_init_gen_cmdline.c;2;2
extr_linuxdriverssbuscharenvctrl.c_envctrl_i2c_voltage_status.c;9;9
extr_reactosbaseapplicationscalcrpn_ieee.c_rpn_add_i.c;4;4
extr_linuxdriversisdnhisaxteles_cs.c_teles_resume.c;4;4
extr_reactosdlldirectxwined3dx9_36util.c_index_to_rgba.c;27;27
extr_linuxsoundpcicmipci.c_snd_cmipci_spdif_default_info.c;5;5
extr_stbdeprecatedstb_image.c_stbi_ldr_to_hdr_gamma.c;2;2
extr_tenginesrchttpngx_http_variables.c_ngx_http_variable_request_method.c;11;11
extr_linuxdriversusbgadgetfile_storage.c_do_mode_select.c;6;6
extr_reactosmodulesrosappsapplicationssysutilsutilspicemodulevga.c_SetForegroundColorVga.c;3;3
extr_linuxdriversfirewiresbp2.c_sbp2_get_unit_unique_id.c;5;5
extr_php-srcextgdlibgdgd.c_gdImageSetThickness.c;2;2
extr_linuxsoundpcipcxhrpcxhr_mix22.c_hr222_pll_freq_register.c;7;7
extr_linuxnetschedcls_bpf.c_cls_bpf_bind_class.c;5;5
extr_SoftEtherVPNsrcMayaquaMayaqua.c_EnableProbe.c;2;2
extr_linuxarcharmmach-omap2omap-wakeupgen.c__wakeupgen_get_irq_info.c;11;11
extr_linuxdriversbasepowerwakeup.c_device_wakeup_detach_irq.c;5;5
extr_linuxdriversscsich.c_ch_elem_to_typecode.c;4;4
extr_linuxdriversthunderbolteeprom.c_tb_crc8.c;22;15819
extr_mimikatzmodulessqlite3_omit.c_isAllZero.c;10;10
extr_linuxsoundpcihdapatch_realtek.c_alc275_fixup_gpio4_off.c;3;3
extr_hashcatdepsLZMA-SDKCLzmaEnc.c_LenEnc_Init.c;9;9
extr_stbtestscaveviewcave_parse.c_nbt_swap.c;20;1154
extr_obs-studiolibobsgraphicsquat.h_quat_copy.c;3;3
extr_kphp-kdbcopyfastcopyfast-server.c_update_nodes_stats.c;9;9
extr_wcdbandroidsqlciphersqlite3.c_sqlite3StringToId.c;7;7
extr_darwin-xnuosfmkkperfaction.c_kperf_action_set_filter.c;5;5
extr_anypixelfirmwarecontrollerThirdPartySPLsrcstm32f4xx_fsmc.c_FSMC_PCCARDStructInit.c;11;11
extr_hashcatsrcmodulesmodule_06000.c_module_init.c;86;86
extr_linuxdriversnetethernetamdxgbexgbe-phy-v1.c_xgbe_init_function_ptrs_phy_v1.c;37;37
extr_linuxdriversmediausbem28xxem28xx-i2c.c_em28xx_hash_mem.c;30;3853
extr_linuxdriversmediaplatformvia-camera.c_viacam_enum_framesizes.c;5;5
extr_FFmpeglibavfilteravfiltergraph.c_ff_graph_thread_init.c;4;4
extr_radare2libranalesil2reil.c_setup_reil_ins.c;5;5
extr_linuxnetnetfilteripvsip_vs_proto_ah_esp.c_ah_esp_conn_schedule.c;4;4
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_abs_s_Slot_inst_encode.c;2;2
extr_linuxdriversnetethernetnetronomenfpflowerlag_conf.c_nfp_fl_get_next_pkt_number.c;6;6
extr_xhyvesrcpci_e82545.c_e82545_tx_enable.c;2;2
extr_linuxdriversnetwirelessmarvellmwifiexcmdevt.c_mwifiex_ret_wakeup_reason.c;4;4
extr_linuxdriversmediapcicx88cx88-dvb.c_cx24116_set_ts_param.c;5;5
extr_linuxdriversmediapcibt8xxdst.c_dst_check_sum.c;11;1027
extr_linuxdriversinfinibandhwi40iwi40iw_ctrl.c_i40iw_fill_qos_list.c;3;3
extr_libsodiumsrclibsodiumsodiumutils.c__mprotect_readonly.c;4;4
extr_libuvsamplessocks5-proxys5.c_s5_select_auth.c;7;7
extr_libuvsrcunixlinux-syscalls.c_uv__inotify_init1.c;4;4
extr_kphp-kdbhintshash_table.c_htbl_init.c;3;3
extr_kphp-kdbtargtarg-search.c_user_randomize.c;17;17
extr_linuxtoolsperfutilintel-pt.c_intel_pt_reset_last_branch_rb.c;4;4
extr_emscriptensystemlibpthreadlibrary_pthread_stub.c_emscripten_atomic_or_u8.c;4;4
extr_SoftEtherVPNsrcSeLowSeLow.c_SlNdisNetPnPEventProc.c;7;7
extr_linuxdriversnetethernetagereet131x.c_bump_free_buff_ring.c;16;16
extr_torch7libTHTHFile.c_THFile_binary.c;2;2
extr_redisdepshiredisread.c_readBytes.c;10;10
extr_timescaledbsrcutils.c_ts_function_types_equal.c;11;11
extr_reactossdklib3rdpartylibmpg123readers.c_bc_seekback.c;7;7
extr_radare2librasmarchxtensagnuxtensa-modules.c_Opcode_xsr_eps3_Slot_inst_encode.c;2;2
